Year,Total Car Accidents in Illinois,Licensed Drivers,Work Zone Related Crashes,Alcohol Related Crash Fatalities,Young Drivers (16-20) Car accidents,US Holiday Traffic Crashes
2014,296049 ,8984051 ,4287 ,369 ,52426 ,14612 
2013,285477 ,8870311 ,3313 ,389 ,53390 ,11266 
2012,274111 ,8840976 ,4764 ,393 ,52442 ,12759 
2011,281788 ,8798660 ,4863 ,323 ,53850 ,12800 
2010,289260 ,8800368 ,6011 ,354 ,58392 ,13770 
2009,292106 ,8767459 ,6197 ,381 ,60566 ,14071 
2008,408258 ,8728530 ,7813 ,434 ,82451 ,18935 
2007,422778 ,8670000 ,7729 ,507 ,90691 ,20769 
2006,408670 ,8620000 ,8326 ,594 ,90895 ,19615 
2005,421522 ,8570000 ,6648 ,580 ,94392 ,18067 
2004,433032 ,8560000 ,6015 ,604 ,100839 ,21313 
